DaxCharacteristics: ,xx0xx
corrAns,bugCharacteristics,DidVPCorr,Time
0,10111,1,6.2957
1,10001,0,16.2660
1,01000,0,28.8168
0,10110,1,10.1862
0,01100,1,10.2200
1,11001,1,6.1412
0,11101,1,2.9774
1,11000,1,1.9208
1,00001,1,2.9257
1,10010,0,5.3777
1,11011,0,14.4042
1,10000,1,20.9350
1,00010,1,4.1099
1,01010,0,2.4846
0,10100,1,4.6832
0,11100,1,1.3822
0,11110,1,0.9769
1,00011,1,6.2424
1,10011,1,3.9020
0,00100,1,2.5994
0,10101,1,2.0039
0,11111,1,1.7821
0,01111,1,2.0005
0,00110,1,0.8417
0,00111,1,0.9363
0,01110,1,1.3839
0,01101,1,0.9276
1,01001,1,5.0666
1,01011,1,3.2754
1,11010,1,4.7613
0,00101,1,1.3037
1,00000,1,1.9850
wings: Does Not Matter, legs: Does Not Matter, antenna: Straight, dots: Does Not Matter, eyes: Does Not Matter, 
